# pi_control,v0.2.0
# log for:, actuator.force
# date:, 2018_07_25_11_04_59
# meta:, 
# comment:,
time (s), force (N), local_temp (C), timestamp (ms since loadcell powerup)
0.012283034000574844,123,456,789
0.13347931100088317,123,456,789
0.2575711630006481,123,456,789
0.37736004300040804,123,456,789
0.4963325150001765,123,456,789
0.6181718650004768,123,456,789
0.7486795060003715,123,456,789
0.8721324520001872,123,456,789
1.0021564980006588,123,456,789
1.1221890760007227,123,456,789
1.2415796210007102,123,456,789
1.3616593860006105,123,456,789
1.4851310820004073,123,456,789
1.6137432000004992,123,456,789
1.7439346430001024,123,456,789
1.8637194600005387,123,456,789
1.9845879230006176,123,456,789
2.108138838000741,123,456,789
2.230612824000673,123,456,789
2.3565865020000274,123,456,789
2.482036846000483,123,456,789
2.604531145000692,123,456,789
2.725592317000519,123,456,789
2.845318488000885,123,456,789
2.968782736000321,123,456,789
3.0901003670005593,123,456,789
3.215135033000479,123,456,789
3.3369699560007575,123,456,789
3.472523488000661,123,456,789
3.599077791000127,123,456,789
3.7315147570006957,123,456,789
3.8522014490008587,123,456,789
3.9818754960006117,123,456,789
4.108195840000008,123,456,789
4.238735773000371,123,456,789
4.360259862000021,123,456,789
4.488565001000097,123,456,789
4.610018726000817,123,456,789
4.739229178000642,123,456,789
4.861344257000383,123,456,789
4.982930378000674,123,456,789
5.106672386000355,123,456,789
5.230037728000752,123,456,789
5.351219942000171,123,456,789
5.480225394000627,123,456,789
5.60078318000069,123,456,789
5.72165799800041,123,456,789
5.841662450000513,123,456,789
5.966609043000062,123,456,789
6.090484698000182,123,456,789
6.215485145000457,123,456,789
6.3392690290002065,123,456,789
6.46402353800022,123,456,789
6.584834450000017,123,456,789
6.707347082000524,123,456,789
6.828061119000267,123,456,789
6.950842189000468,123,456,789
7.070369505000599,123,456,789
7.18962088400076,123,456,789
7.31384534100016,123,456,789
7.440996415000882,123,456,789
7.563908944000104,123,456,789
7.690677778000463,123,456,789
7.8134208270003,123,456,789
7.9396588800000245,123,456,789
8.063247920000322,123,456,789
8.18282955900031,123,456,789
8.304832451000038,123,456,789
8.43007310700068,123,456,789
8.552124332000858,123,456,789
8.681145513000047,123,456,789
8.803587416000482,123,456,789
8.924535880000803,123,456,789
9.044029030000274,123,456,789
9.166803068000263,123,456,789
9.294344872000693,123,456,789
9.41946620500039,123,456,789
9.540761440000097,123,456,789
9.663571052000407,123,456,789
9.785630038000818,123,456,789
9.905428083000515,123,456,789
10.028117799000029,123,456,789
10.149061680000159,123,456,789
10.271952385000077,123,456,789
10.395300851000684,123,456,789
10.518830932000128,123,456,789
10.645668778000072,123,456,789
10.769368494000446,123,456,789
10.8940345660003,123,456,789
11.018192200000158,123,456,789
11.141981813000712,123,456,789
11.26583330000085,123,456,789
11.385911971000496,123,456,789
11.507889915000305,123,456,789
