# pi_control,v0.2.0
# log for:, actuator.force
# date:, 2018_07_25_13_27_22
# meta:, 
# comment:,
time (s), force (N), local_temp (C), timestamp (ms since loadcell powerup)
0.0122425100000072,123,456,789
0.13044536600000356,123,456,789
0.24930452400001002,123,456,789
0.3675015990000077,123,456,789
0.48589351799999747,123,456,789
0.6046558010000069,123,456,789
0.7246891790000092,123,456,789
0.8436759420000044,123,456,789
0.9614267670000061,123,456,789
1.0801060290000066,123,456,789
1.1991510730000101,123,456,789
1.3173258570000002,123,456,789
1.4355086599999964,123,456,789
1.5570116230000082,123,456,789
1.6755451049999976,123,456,789
1.7946338990000044,123,456,789
1.9136557140000008,123,456,789
2.031667528,123,456,789
2.14973538400001,123,456,789
2.2677611040000016,123,456,789
2.3855116160000023,123,456,789
2.5060484840000044,123,456,789
2.6249697260000033,123,456,789
2.745385448999997,123,456,789
2.8682980479999998,123,456,789
2.9955091930000037,123,456,789
3.125792058000002,123,456,789
3.255162632000008,123,456,789
3.3820614320000004,123,456,789
3.50812023200001,123,456,789
3.635980752000009,123,456,789
3.7640879909999967,123,456,789
3.892712678999999,123,456,789
4.020597000999999,123,456,789
4.146453405000003,123,456,789
4.272593401999998,123,456,789
4.401018402000005,123,456,789
4.529737933000007,123,456,789
4.6598002260000015,123,456,789
4.7877658499999995,123,456,789
4.913472306000003,123,456,789
5.0425009519999975,123,456,789
5.174035693999997,123,456,789
5.301996525999996,123,456,789
5.427752045000005,123,456,789
5.553222563000006,123,456,789
5.6814394900000025,123,456,789
5.810761052000004,123,456,789
5.939515374999999,123,456,789
6.060623962999998,123,456,789
6.178549527000001,123,456,789
6.297002383000006,123,456,789
6.41710680300001,123,456,789
6.535700493000007,123,456,789
6.656267049000007,123,456,789
6.774618654999998,123,456,789
6.89382963700001,123,456,789
7.012086242999999,123,456,789
7.130126337999997,123,456,789
7.248145391999998,123,456,789
7.366784081000006,123,456,789
7.4873342310000055,123,456,789
7.608568599999998,123,456,789
7.728081717000009,123,456,789
7.8485380130000095,123,456,789
7.967523838000005,123,456,789
8.084984610000006,123,456,789
8.202933247000004,123,456,789
8.322420010000002,123,456,789
8.447889383000003,123,456,789
8.566330051000008,123,456,789
8.684218220000005,123,456,789
8.803541077000006,123,456,789
8.923794872000002,123,456,789
9.042566843000003,123,456,789
9.163012721000001,123,456,789
9.28191651600001,123,456,789
9.399304527000012,123,456,789
9.517437799999996,123,456,789
9.636372635,123,456,789
9.754936481000001,123,456,789
9.873753400000012,123,456,789
9.993966310000005,123,456,789
10.113314167000013,123,456,789
10.233880826999993,123,456,789
10.353573319999995,123,456,789
10.471909978,123,456,789
10.589439291999994,123,456,789
10.707202981000009,123,456,789
10.824907033999992,123,456,789
10.943451192000012,123,456,789
11.064478112999993,123,456,789
