# pi_control,v0.2.0
# log for:, actuator.force
# date:, 2018_07_25_13_30_08
# meta:, 
# comment:,
time (s), force (N), local_temp (C), timestamp (ms since loadcell powerup)
0.012343186999999034,123,456,789
0.13088864799999556,123,456,789
0.2515086409999867,123,456,789
0.37269108300000653,123,456,789
0.4927794609999978,123,456,789
0.6130432560000258,123,456,789
0.7326110610000001,123,456,789
0.8530575649999719,123,456,789
0.9726136510000174,123,456,789
1.0926649460000135,123,456,789
1.2134792630000106,123,456,789
1.334575454000003,123,456,789
1.4582169089999866,123,456,789
1.5784812250000186,123,456,789
1.700004395999997,123,456,789
1.823025432999998,123,456,789
1.9442470409999828,123,456,789
2.065650732999984,123,456,789
2.1890610930000207,123,456,789
2.312659735000011,123,456,789
2.434108895999998,123,456,789
2.5579437869999992,123,456,789
2.678137425999978,123,456,789
2.800759453000012,123,456,789
2.9233461659999875,123,456,789
3.04496621200002,123,456,789
3.1678855310000245,123,456,789
3.2899292230000015,123,456,789
3.414755886000023,123,456,789
3.538925258000006,123,456,789
3.6616475440000045,123,456,789
3.7853232690000027,123,456,789
3.9072586280000223,123,456,789
4.028690029000018,123,456,789
4.152708098000005,123,456,789
4.275137831999984,123,456,789
4.397456733000013,123,456,789
4.521053552000012,123,456,789
4.642681931000027,123,456,789
4.763893175000021,123,456,789
4.884797855999977,123,456,789
5.0083227999999735,123,456,789
5.132747118999987,123,456,789
5.255304926999997,123,456,789
5.377491431999999,123,456,789
5.498627519000024,123,456,789
5.622324026000001,123,456,789
5.744439906000025,123,456,789
5.866289067000025,123,456,789
5.9897428119999745,123,456,789
6.1109503060000065,123,456,789
6.2319301960000075,123,456,789
6.35686462000001,123,456,789
6.480472011000018,123,456,789
6.602353412000014,123,456,789
6.722687988000018,123,456,789
6.847497359999977,123,456,789
6.97002506299998,123,456,789
7.093872454999996,123,456,789
7.215696719999983,123,456,789
7.337292444000013,123,456,789
7.4606516580000175,123,456,789

